band_index,band_name,cluster_id,is_representative,cluster_size
0,aspect,1,True,1
154,slope,2,True,1
176,tpi,3,True,1
71,hallcover_amp,4,True,1
78,hallheigth_amp,5,True,1
119,pri_max,6,True,1
124,pri_amp,7,True,1
125,pri_stdDev,8,True,1
98,ndwi_max,9,True,1
103,ndwi_amp,10,True,1
91,ndvi_max,11,True,1
96,ndvi_amp,12,True,1
104,ndwi_stdDev,13,True,1
12,cai_min,14,True,1
97,ndvi_stdDev,15,True,1
37,gcvi_max,16,False,3
42,gcvi_amp,16,True,3
43,gcvi_stdDev,16,False,3
34,fns_min,17,True,2
155,soil_max,17,False,2
35,fns_amp,18,True,4
36,fns_stdDev,18,False,4
160,soil_amp,18,False,4
161,soil_stdDev,18,False,4
167,swir1_amp,19,True,4
168,swir1_stdDev,19,False,4
174,swir2_amp,19,False,4
175,swir2_stdDev,19,False,4
72,hallcover_stdDev,20,True,1
30,fns_max,21,True,2
159,soil_min,21,False,2
166,swir1_min,22,False,2
173,swir2_min,22,True,2
32,fns_median_dry,23,True,2
157,soil_median_dry,23,False,2
164,swir1_median_dry,24,False,2
171,swir2_median_dry,24,True,2
162,swir1_max,25,True,2
169,swir2_max,25,False,2
31,fns_median,26,False,4
33,fns_median_wet,26,False,4
156,soil_median,26,True,4
158,soil_median_wet,26,False,4
67,hallcover_median,27,False,5
163,swir1_median,27,False,5
165,swir1_median_wet,27,False,5
170,swir2_median,27,True,5
172,swir2_median_wet,27,False,5
141,sefi_median,28,True,2
143,sefi_median_wet,28,False,2
142,sefi_median_dry,29,True,1
140,sefi_max,30,True,1
51,green_median_texture,31,True,1
106,nir_median,32,True,2
108,nir_median_wet,32,False,2
109,nir_min,33,True,1
113,npv_median,34,False,3
115,npv_median_wet,34,True,3
116,npv_min,34,False,3
5,blue_min,35,False,4
19,cloud_min,35,False,4
48,green_min,35,True,4
130,red_min,35,False,4
2,blue_median,36,False,8
4,blue_median_wet,36,False,8
16,cloud_median,36,False,8
18,cloud_median_wet,36,False,8
45,green_median,36,False,8
47,green_median_wet,36,True,8
127,red_median,36,False,8
129,red_median_wet,36,False,8
117,npv_amp,37,True,2
118,npv_stdDev,37,False,2
112,npv_max,38,True,1
110,nir_amp,39,True,2
111,nir_stdDev,39,False,2
1,blue_max,40,False,13
6,blue_amp,40,False,13
7,blue_stdDev,40,False,13
15,cloud_max,40,False,13
20,cloud_amp,40,False,13
21,cloud_stdDev,40,False,13
44,green_max,40,False,13
49,green_amp,40,True,13
50,green_stdDev,40,False,13
79,hallheigth_stdDev,40,False,13
126,red_max,40,False,13
131,red_amp,40,False,13
132,red_stdDev,40,False,13
105,nir_max,41,True,1
3,blue_median_dry,42,False,4
17,cloud_median_dry,42,False,4
46,green_median_dry,42,True,4
128,red_median_dry,42,False,4
114,npv_median_dry,43,True,1
107,nir_median_dry,44,True,1
22,elevation,45,True,1
152,shade_amp,46,True,2
153,shade_stdDev,46,False,2
28,evi2_amp,47,True,4
29,evi2_stdDev,47,False,4
138,savi_amp,47,False,4
139,savi_stdDev,47,False,4
57,gv_amp,48,True,2
58,gv_stdDev,48,False,2
182,wefi_amp,49,True,2
183,wefi_stdDev,49,False,2
64,gvs_amp,50,True,2
65,gvs_stdDev,50,False,2
87,ndfi_amp,51,True,2
88,ndfi_stdDev,51,False,2
8,cai_max,52,True,2
13,cai_amp,52,False,2
10,cai_median_dry,53,True,1
120,pri_median,54,True,1
121,pri_median_dry,55,True,1
122,pri_median_wet,56,True,1
123,pri_min,57,True,1
81,ndbi,58,False,3
89,ndmi,58,True,3
99,ndwi_median,58,False,3
80,mbi,59,True,1
101,ndwi_median_wet,60,True,1
102,ndwi_min,61,True,1
100,ndwi_median_dry,62,True,1
145,sefi_amp,63,False,2
146,sefi_stdDev,63,True,2
144,sefi_min,64,True,1
148,shade_median,65,True,3
150,shade_median_wet,65,False,3
151,shade_min,65,False,3
149,shade_median_dry,66,True,1
147,shade_max,67,True,1
9,cai_median,68,True,1
11,cai_median_wet,69,True,1
93,ndvi_median_dry,70,True,2
95,ndvi_min,70,False,2
92,ndvi_median,71,True,1
90,ndsi,72,True,1
23,evi2_max,73,False,7
24,evi2_median,73,False,7
26,evi2_median_wet,73,False,7
53,gv_median,73,False,7
133,savi_max,73,False,7
134,savi_median,73,False,7
136,savi_median_wet,73,True,7
52,gv_max,74,False,4
55,gv_median_wet,74,False,4
178,wefi_median,74,False,4
180,wefi_median_wet,74,True,4
177,wefi_max,75,True,1
60,gvs_median,76,False,2
62,gvs_median_wet,76,True,2
83,ndfi_median,77,True,2
85,ndfi_median_wet,77,False,2
59,gvs_max,78,True,1
82,ndfi_max,79,True,1
56,gv_min,80,True,1
181,wefi_min,81,True,1
179,wefi_median_dry,82,True,1
27,evi2_min,83,True,2
137,savi_min,83,False,2
25,evi2_median_dry,84,True,3
54,gv_median_dry,84,False,3
135,savi_median_dry,84,False,3
38,gcvi_median,85,False,2
39,gcvi_median_dry,85,True,2
61,gvs_median_dry,86,False,3
63,gvs_min,86,True,3
86,ndfi_min,86,False,3
84,ndfi_median_dry,87,True,1
40,gcvi_median_wet,88,True,1
94,ndvi_median_wet,89,True,1
41,gcvi_min,90,True,1
14,cai_stdDev,91,True,1
66,hallcover_max,92,True,1
68,hallcover_median_dry,93,True,1
69,hallcover_median_wet,94,True,1
70,hallcover_min,95,True,1
73,hallheigth_max,96,True,1
74,hallheigth_median,97,True,1
75,hallheigth_median_dry,98,True,1
76,hallheigth_median_wet,99,True,1
77,hallheigth_min,100,True,1
