band_index,band_name,cluster_id,cluster_size
0,aspect,1,1
8,cai_max,52,2
9,cai_median,68,1
10,cai_median_dry,53,1
11,cai_median_wet,69,1
12,cai_min,14,1
14,cai_stdDev,91,1
22,elevation,45,1
25,evi2_median_dry,84,3
27,evi2_min,83,2
28,evi2_amp,47,4
30,fns_max,21,2
32,fns_median_dry,23,2
34,fns_min,17,2
35,fns_amp,18,4
39,gcvi_median_dry,85,2
40,gcvi_median_wet,88,1
41,gcvi_min,90,1
42,gcvi_amp,16,3
46,green_median_dry,42,4
47,green_median_wet,36,8
48,green_min,35,4
49,green_amp,40,13
51,green_median_texture,31,1
56,gv_min,80,1
57,gv_amp,48,2
59,gvs_max,78,1
62,gvs_median_wet,76,2
63,gvs_min,86,3
64,gvs_amp,50,2
66,hallcover_max,92,1
68,hallcover_median_dry,93,1
69,hallcover_median_wet,94,1
70,hallcover_min,95,1
71,hallcover_amp,4,1
72,hallcover_stdDev,20,1
73,hallheigth_max,96,1
74,hallheigth_median,97,1
75,hallheigth_median_dry,98,1
76,hallheigth_median_wet,99,1
77,hallheigth_min,100,1
78,hallheigth_amp,5,1
80,mbi,59,1
82,ndfi_max,79,1
83,ndfi_median,77,2
84,ndfi_median_dry,87,1
87,ndfi_amp,51,2
89,ndmi,58,3
90,ndsi,72,1
91,ndvi_max,11,1
92,ndvi_median,71,1
93,ndvi_median_dry,70,2
94,ndvi_median_wet,89,1
96,ndvi_amp,12,1
97,ndvi_stdDev,15,1
98,ndwi_max,9,1
100,ndwi_median_dry,62,1
101,ndwi_median_wet,60,1
102,ndwi_min,61,1
103,ndwi_amp,10,1
104,ndwi_stdDev,13,1
105,nir_max,41,1
106,nir_median,32,2
107,nir_median_dry,44,1
109,nir_min,33,1
110,nir_amp,39,2
112,npv_max,38,1
114,npv_median_dry,43,1
115,npv_median_wet,34,3
117,npv_amp,37,2
119,pri_max,6,1
120,pri_median,54,1
121,pri_median_dry,55,1
122,pri_median_wet,56,1
123,pri_min,57,1
124,pri_amp,7,1
125,pri_stdDev,8,1
136,savi_median_wet,73,7
140,sefi_max,30,1
141,sefi_median,28,2
142,sefi_median_dry,29,1
144,sefi_min,64,1
146,sefi_stdDev,63,2
147,shade_max,67,1
148,shade_median,65,3
149,shade_median_dry,66,1
152,shade_amp,46,2
154,slope,2,1
156,soil_median,26,4
162,swir1_max,25,2
167,swir1_amp,19,4
170,swir2_median,27,5
171,swir2_median_dry,24,2
173,swir2_min,22,2
176,tpi,3,1
177,wefi_max,75,1
179,wefi_median_dry,82,1
180,wefi_median_wet,74,4
181,wefi_min,81,1
182,wefi_amp,49,2
