rank,band_index,band_name,mean_jm,min_jm,n_pairs,n_classes_used
1,71,hallcover_amp,1.2212822141700994,0.0,171,19
2,94,ndvi_median_wet,1.1213171974781382,0.0003032800600377694,171,19
3,92,ndvi_median,1.1099034067078006,0.0017017464730717524,171,19
4,78,hallheigth_amp,1.1079441758322073,0.0,171,19
5,136,savi_median_wet,1.088706068990192,0.002196503411630246,171,19
6,40,gcvi_median_wet,1.0694373909927906,0.031315106825891004,171,19
7,14,cai_stdDev,1.0241385195167059,0.0037402668047166188,171,19
8,39,gcvi_median_dry,1.018642868503043,0.00014092405796772844,171,19
9,62,gvs_median_wet,1.0023646394389207,0.004000055861566487,171,19
10,90,ndsi,0.9656804013881914,0.0015651039264814592,171,19
11,47,green_median_wet,0.9589495450672917,0.0038910996573637835,171,19
12,93,ndvi_median_dry,0.9499237244499052,0.003332711556462975,171,19
13,91,ndvi_max,0.9426434343739519,0.0009172257664036287,171,19
14,46,green_median_dry,0.9160260164872301,0.0041993791139887104,171,19
15,97,ndvi_stdDev,0.9033409190075788,0.0009547873990949363,171,19
16,25,evi2_median_dry,0.9012093583597033,0.003212731202822061,171,19
17,89,ndmi,0.8961243624326053,0.0012871442785868936,171,19
18,125,pri_stdDev,0.8957927477577969,0.0004539285818825345,171,19
19,101,ndwi_median_wet,0.8915413135578848,0.0014154961964492063,171,19
20,11,cai_median_wet,0.8682641281525084,0.0025118774981303105,171,19
21,9,cai_median,0.8508587343196523,0.002126974174554652,171,19
22,180,wefi_median_wet,0.844146271762112,0.0052137976152668575,171,19
23,83,ndfi_median,0.8419443563050352,0.004383174369706699,171,19
24,63,gvs_min,0.8212284305499153,0.00041961319190497726,171,19
25,140,sefi_max,0.8161577783536238,0.0037978758806571644,171,19
26,56,gv_min,0.8132768722062946,0.00043804793775503725,171,19
27,59,gvs_max,0.7872778071167305,0.0021039866253953488,171,19
28,48,green_min,0.7835671855027512,0.004177125090618183,171,19
29,170,swir2_median,0.7776556321960675,0.013437929699905427,171,19
30,120,pri_median,0.762351329567384,0.0004246657332460657,171,19
31,80,mbi,0.7561737461027236,0.004610555219683121,171,19
32,141,sefi_median,0.7550017209919858,0.0006231524983375536,171,19
33,42,gcvi_amp,0.7533530445126394,0.0202224378364928,171,19
34,106,nir_median,0.7497530882289752,0.007260393718834912,171,19
35,142,sefi_median_dry,0.7217789447312327,0.0032472634694482583,171,19
36,82,ndfi_max,0.7144215887742346,0.00111806233408962,171,19
37,41,gcvi_min,0.7010034335682349,0.0034278495211106375,171,19
38,177,wefi_max,0.6992741295080489,0.001929887778406858,171,19
39,171,swir2_median_dry,0.6851697510003004,0.017694055190933256,171,19
40,32,fns_median_dry,0.6814279519201759,0.0007652062990597397,171,19
41,84,ndfi_median_dry,0.6813129227358862,0.0006725656695090176,171,19
42,181,wefi_min,0.6716520098935737,0.00016777290588576577,171,19
43,114,npv_median_dry,0.6712405870252384,0.001286456507782363,171,19
44,102,ndwi_min,0.6682850171653564,3.665747158132504e-05,171,19
45,156,soil_median,0.6670569880704089,0.004073270231015336,171,19
46,30,fns_max,0.6629337142356548,0.002475533559789911,171,19
47,104,ndwi_stdDev,0.6546701600133394,0.0018311218789532901,171,19
48,115,npv_median_wet,0.6498478618374134,2.5097457471368045e-05,171,19
49,27,evi2_min,0.6415272617076311,0.005866724733482043,171,19
50,107,nir_median_dry,0.6404716903125007,0.0003130456944506754,171,19
51,10,cai_median_dry,0.639771657125927,0.0024930922443424652,171,19
52,121,pri_median_dry,0.6326434099258007,0.014965898823262824,171,19
53,12,cai_min,0.6288545772992346,0.01419452041393865,171,19
54,179,wefi_median_dry,0.6249489633407096,0.0007254299642269757,171,19
55,57,gv_amp,0.6216145653345193,0.0017822928685191641,171,19
56,100,ndwi_median_dry,0.6186523471270163,0.000959863483696255,171,19
57,122,pri_median_wet,0.6043577528632684,0.006363918222909826,171,19
58,144,sefi_min,0.5935199935317694,0.002287075395418503,171,19
59,98,ndwi_max,0.585196019324854,0.0035631936671107756,171,19
60,96,ndvi_amp,0.5816064385372892,0.0007323350344075052,171,19
61,8,cai_max,0.5756216324795788,0.00239441352149683,171,19
62,105,nir_max,0.5735625907916373,0.00391500365728481,171,19
63,173,swir2_min,0.5689754435046132,0.009487997709726637,171,19
64,148,shade_median,0.5614376390880916,0.0017216076945609782,171,19
65,162,swir1_max,0.5511803268960563,0.002186132609536262,171,19
66,112,npv_max,0.5509821050647365,0.002572829941526633,171,19
67,119,pri_max,0.5398129581691861,0.0031686820347294198,171,19
68,154,slope,0.532191526033875,0.0012395658245789587,171,19
69,28,evi2_amp,0.5203743629247403,0.0029922293352695473,171,19
70,51,green_median_texture,0.5102692996714819,0.001223336382430551,171,19
71,22,elevation,0.5070212172348721,0.001023157753131887,171,19
72,103,ndwi_amp,0.4732945081043133,0.001475625399758762,171,19
73,124,pri_amp,0.4682115562129018,0.0006955714262475432,171,19
74,149,shade_median_dry,0.4570200744049908,0.002676854076016477,171,19
75,109,nir_min,0.4561085108529695,0.0010034754559249404,171,19
76,34,fns_min,0.4451982683854637,0.0044037899737261466,171,19
77,182,wefi_amp,0.4267987693044374,0.00034028778496275613,171,19
78,49,green_amp,0.41905329026144195,0.00016033351182387356,171,19
79,117,npv_amp,0.41367846667998,0.0036085846503568497,171,19
80,123,pri_min,0.4057140494401428,0.007253919205808312,171,19
81,147,shade_max,0.33253576298266946,0.0005487352934763212,171,19
82,110,nir_amp,0.3268888673641681,0.003895892014001978,171,19
83,146,sefi_stdDev,0.3059719144257371,7.989482547587912e-05,171,19
84,176,tpi,0.2925860453883993,0.0002478429732284404,171,19
85,35,fns_amp,0.25415414430182687,0.00026779740941806907,171,19
86,167,swir1_amp,0.19154089057395343,0.0011315603730852608,171,19
87,72,hallcover_stdDev,0.18970582966661664,0.0001777033013010687,171,19
88,152,shade_amp,0.18038536218629023,0.0004243715429148587,171,19
89,64,gvs_amp,0.17576635516315822,0.0010726182190101685,171,19
90,87,ndfi_amp,0.148915575761681,0.0010708458783816877,171,19
91,0,aspect,0.12211370072502682,0.00016656895311406572,171,19
92,66,hallcover_max,0.0,0.0,171,19
93,68,hallcover_median_dry,0.0,0.0,171,19
94,69,hallcover_median_wet,0.0,0.0,171,19
95,70,hallcover_min,0.0,0.0,171,19
96,73,hallheigth_max,0.0,0.0,171,19
97,74,hallheigth_median,0.0,0.0,171,19
98,75,hallheigth_median_dry,0.0,0.0,171,19
99,76,hallheigth_median_wet,0.0,0.0,171,19
100,77,hallheigth_min,0.0,0.0,171,19
