rank,band_index,band_name,mean_jm,min_jm,n_pairs,n_classes_used
1,71,hallcover_amp,1.221282,0.0,171,19
2,38,gcvi_median,1.16088,0.001979,171,19
3,94,ndvi_median_wet,1.121317,0.000303,171,19
4,92,ndvi_median,1.109903,0.001702,171,19
5,78,hallheigth_amp,1.107944,0.0,171,19
6,136,savi_median_wet,1.088706,0.002197,171,19
7,133,savi_max,1.082357,0.004266,171,19
8,23,evi2_max,1.074528,0.002611,171,19
9,26,evi2_median_wet,1.073614,0.002486,171,19
10,40,gcvi_median_wet,1.069437,0.031315,171,19
11,134,savi_median,1.064382,0.021851,171,19
12,24,evi2_median,1.053612,0.021101,171,19
13,14,cai_stdDev,1.024139,0.00374,171,19
14,39,gcvi_median_dry,1.018643,0.000141,171,19
15,62,gvs_median_wet,1.002365,0.004,171,19
16,45,green_median,0.988449,0.000102,171,19
17,16,cloud_median,0.974535,0.002686,171,19
18,60,gvs_median,0.972907,0.002585,171,19
19,2,blue_median,0.972077,0.002301,171,19
20,127,red_median,0.968487,0.011015,171,19
21,129,red_median_wet,0.967554,0.013615,171,19
22,90,ndsi,0.96568,0.001565,171,19
23,47,green_median_wet,0.95895,0.003891,171,19
24,93,ndvi_median_dry,0.949924,0.003333,171,19
25,91,ndvi_max,0.942643,0.000917,171,19
26,17,cloud_median_dry,0.942516,0.002016,171,19
27,3,blue_median_dry,0.931558,0.000385,171,19
28,4,blue_median_wet,0.927873,0.005699,171,19
29,55,gv_median_wet,0.922202,0.0056,171,19
30,46,green_median_dry,0.916026,0.004199,171,19
31,18,cloud_median_wet,0.912846,0.00121,171,19
32,97,ndvi_stdDev,0.903341,0.000955,171,19
33,135,savi_median_dry,0.902513,0.003115,171,19
34,25,evi2_median_dry,0.901209,0.003213,171,19
35,128,red_median_dry,0.899939,0.009635,171,19
36,53,gv_median,0.898672,0.006853,171,19
37,81,ndbi,0.896147,0.001287,171,19
38,89,ndmi,0.896124,0.001287,171,19
39,99,ndwi_median,0.895848,0.001287,171,19
40,125,pri_stdDev,0.895793,0.000454,171,19
