band_index,band_name,decision,kept_in_band_list,n_hits,n_iters,hit_rate,mean_importance,mean_shadow_max
22,band_22,confirmed,1,49,49,1.0,0.019705459598296914,0.0014677616112458837
92,band_92,confirmed,1,49,49,1.0,0.013125548241865006,0.0014677616112458837
23,band_23,confirmed,1,49,49,1.0,0.012729873682247908,0.0014677616112458837
133,band_133,confirmed,1,49,49,1.0,0.012336297063631721,0.0014677616112458837
154,band_154,confirmed,1,49,49,1.0,0.011964088810389701,0.0014677616112458837
38,band_38,confirmed,1,49,49,1.0,0.011427192902753586,0.0014677616112458837
134,band_134,confirmed,1,49,49,1.0,0.011096894152870365,0.0014677616112458837
99,band_99,confirmed,1,49,49,1.0,0.0107565859190374,0.0014677616112458837
9,band_9,confirmed,1,49,49,1.0,0.010632598431978169,0.0014677616112458837
52,band_52,confirmed,1,49,49,1.0,0.010583080490385319,0.0014677616112458837
120,band_120,confirmed,1,49,49,1.0,0.010566065349945804,0.0014677616112458837
40,band_40,confirmed,1,49,49,1.0,0.01041730822806475,0.0014677616112458837
97,band_97,confirmed,1,49,49,1.0,0.009842177648176988,0.0014677616112458837
51,band_51,confirmed,1,49,49,1.0,0.00982764088290591,0.0014677616112458837
24,band_24,confirmed,1,49,49,1.0,0.00975235583438647,0.0014677616112458837
178,band_178,confirmed,1,49,49,1.0,0.009094056170692021,0.0014677616112458837
96,band_96,confirmed,1,49,49,1.0,0.008985992344598027,0.0014677616112458837
94,band_94,confirmed,1,49,49,1.0,0.00875097733345937,0.0014677616112458837
11,band_11,confirmed,1,49,49,1.0,0.008441989356070255,0.0014677616112458837
101,band_101,confirmed,1,49,49,1.0,0.008409789459523458,0.0014677616112458837
57,band_57,confirmed,1,49,49,1.0,0.00831962395411403,0.0014677616112458837
84,band_84,confirmed,1,49,49,1.0,0.007932945340031089,0.0014677616112458837
95,band_95,confirmed,1,49,49,1.0,0.007793132870039947,0.0014677616112458837
27,band_27,confirmed,1,49,49,1.0,0.007789080619832904,0.0014677616112458837
42,band_42,confirmed,1,49,49,1.0,0.007624934005479788,0.0014677616112458837
139,band_139,confirmed,1,49,49,1.0,0.007618644309079857,0.0014677616112458837
53,band_53,confirmed,1,49,49,1.0,0.007578180886647289,0.0014677616112458837
1,band_1,confirmed,1,49,49,1.0,0.007570776257125184,0.0014677616112458837
137,band_137,confirmed,1,49,49,1.0,0.007413535419127306,0.0014677616112458837
104,band_104,confirmed,1,49,49,1.0,0.00724335672398672,0.0014677616112458837
15,band_15,confirmed,1,49,49,1.0,0.007207538386876256,0.0014677616112458837
20,band_20,confirmed,1,49,49,1.0,0.007195615199137476,0.0014677616112458837
126,band_126,confirmed,1,49,49,1.0,0.007181509867939648,0.0014677616112458837
44,band_44,confirmed,1,49,49,1.0,0.007032384024334502,0.0014677616112458837
26,band_26,confirmed,1,49,49,1.0,0.0069850208285911495,0.0014677616112458837
136,band_136,confirmed,1,49,49,1.0,0.006933081073571587,0.0014677616112458837
6,band_6,confirmed,1,49,49,1.0,0.006899248426597619,0.0014677616112458837
29,band_29,confirmed,1,49,49,1.0,0.006730225155969852,0.0014677616112458837
93,band_93,confirmed,1,49,49,1.0,0.006677028854968761,0.0014677616112458837
124,band_124,confirmed,1,49,49,1.0,0.00660518428497019,0.0014677616112458837
43,band_43,confirmed,1,49,49,1.0,0.006595542991930397,0.0014677616112458837
140,band_140,confirmed,1,49,49,1.0,0.006447369117001823,0.0014677616112458837
98,band_98,confirmed,1,49,49,1.0,0.006432755666221017,0.0014677616112458837
28,band_28,confirmed,1,49,49,1.0,0.006412917055460806,0.0014677616112458837
127,band_127,confirmed,1,49,49,1.0,0.00626552412112202,0.0014677616112458837
138,band_138,confirmed,1,49,49,1.0,0.006094084927935662,0.0014677616112458837
83,band_83,confirmed,1,49,49,1.0,0.006066755182102905,0.0014677616112458837
49,band_49,confirmed,1,49,49,1.0,0.006033178560302857,0.0014677616112458837
128,band_128,confirmed,1,49,49,1.0,0.00595870245409739,0.0014677616112458837
2,band_2,confirmed,1,49,49,1.0,0.005940315904556897,0.0014677616112458837
41,band_41,confirmed,1,49,49,1.0,0.005825221242531875,0.0014677616112458837
3,band_3,confirmed,1,49,49,1.0,0.005720759509950178,0.0014677616112458837
106,band_106,confirmed,1,49,49,1.0,0.005710054685914422,0.0014677616112458837
8,band_8,confirmed,1,49,49,1.0,0.005664047574131278,0.0014677616112458837
7,band_7,confirmed,1,49,49,1.0,0.005623681402041525,0.0014677616112458837
4,band_4,confirmed,1,49,49,1.0,0.0055858540444239015,0.0014677616112458837
37,band_37,confirmed,1,49,49,1.0,0.005438498987429068,0.0014677616112458837
180,band_180,confirmed,1,49,49,1.0,0.005339348443543671,0.0014677616112458837
146,band_146,confirmed,1,49,49,1.0,0.005252869542723383,0.0014677616112458837
145,band_145,confirmed,1,49,49,1.0,0.005236209466712352,0.0014677616112458837
123,band_123,confirmed,1,49,49,1.0,0.0051956964655832435,0.0014677616112458837
132,band_132,confirmed,1,49,49,1.0,0.005180677252513381,0.0014677616112458837
45,band_45,confirmed,1,49,49,1.0,0.005149616273814115,0.0014677616112458837
119,band_119,confirmed,1,49,49,1.0,0.0050442093048382805,0.0014677616112458837
77,band_77,confirmed,1,49,49,1.0,0.005034182094823751,0.0014677616112458837
59,band_59,confirmed,1,49,49,1.0,0.005022320317078715,0.0014677616112458837
105,band_105,confirmed,1,49,49,1.0,0.004993182474912859,0.0014677616112458837
131,band_131,confirmed,1,49,49,1.0,0.0049583567366407524,0.0014677616112458837
121,band_121,confirmed,1,49,49,1.0,0.004913553866755714,0.0014677616112458837
58,band_58,confirmed,1,49,49,1.0,0.004884109857991253,0.0014677616112458837
86,band_86,confirmed,1,49,49,1.0,0.004877976567921775,0.0014677616112458837
122,band_122,confirmed,1,49,49,1.0,0.00486165788428514,0.0014677616112458837
150,band_150,confirmed,1,49,49,1.0,0.004773781635211182,0.0014677616112458837
112,band_112,confirmed,1,49,49,1.0,0.004712445798491198,0.0014677616112458837
21,band_21,confirmed,1,49,49,1.0,0.004658215942870889,0.0014677616112458837
62,band_62,confirmed,1,49,49,1.0,0.004650866987853948,0.0014677616112458837
48,band_48,confirmed,1,49,49,1.0,0.004644265968921294,0.0014677616112458837
74,band_74,confirmed,1,49,49,1.0,0.004631404996172029,0.0014677616112458837
50,band_50,confirmed,1,49,49,1.0,0.004624486231562274,0.0014677616112458837
151,band_151,confirmed,1,49,49,1.0,0.004608491314711346,0.0014677616112458837
13,band_13,confirmed,1,49,49,1.0,0.004581555453865462,0.0014677616112458837
117,band_117,confirmed,1,49,49,1.0,0.004526824266669579,0.0014677616112458837
91,band_91,confirmed,1,49,49,1.0,0.0043746164808828765,0.0014677616112458837
177,band_177,confirmed,1,49,49,1.0,0.004368774144045233,0.0014677616112458837
90,band_90,confirmed,1,49,49,1.0,0.0043648436244599865,0.0014677616112458837
76,band_76,confirmed,1,49,49,1.0,0.004362403279073942,0.0014677616112458837
111,band_111,confirmed,1,49,49,1.0,0.004321074708945511,0.0014677616112458837
144,band_144,confirmed,1,49,49,1.0,0.0041864614399082815,0.0014677616112458837
12,band_12,confirmed,1,49,49,1.0,0.004082270694504022,0.0014677616112458837
163,band_163,confirmed,1,49,49,1.0,0.00394666698823767,0.0014677616112458837
129,band_129,confirmed,1,49,49,1.0,0.003943263151187911,0.0014677616112458837
46,band_46,confirmed,1,49,49,1.0,0.003933563591017074,0.0014677616112458837
148,band_148,confirmed,1,49,49,1.0,0.003920396894482092,0.0014677616112458837
87,band_87,confirmed,1,49,49,1.0,0.0037996635313849634,0.0014677616112458837
63,band_63,confirmed,1,49,49,1.0,0.003743082383704673,0.0014677616112458837
107,band_107,confirmed,1,49,49,1.0,0.003716984274873716,0.0014677616112458837
67,band_67,confirmed,1,49,49,1.0,0.0037150773511183044,0.0014677616112458837
182,band_182,confirmed,1,49,49,1.0,0.0036325530429978914,0.0014677616112458837
61,band_61,confirmed,1,49,49,1.0,0.0035853250082390413,0.0014677616112458837
66,band_66,confirmed,1,49,49,1.0,0.0034767506453376594,0.0014677616112458837
88,band_88,confirmed,1,49,49,1.0,0.003472608501622941,0.0014677616112458837
165,band_165,confirmed,1,49,49,1.0,0.0034501013038793645,0.0014677616112458837
109,band_109,confirmed,1,49,49,1.0,0.0034178427255140975,0.0014677616112458837
39,band_39,confirmed,1,49,49,1.0,0.0034159016660227377,0.0014677616112458837
100,band_100,confirmed,1,49,49,1.0,0.0033641254124741875,0.0014677616112458837
64,band_64,confirmed,1,49,49,1.0,0.003338280079763108,0.0014677616112458837
69,band_69,confirmed,1,49,49,1.0,0.003310781559132903,0.0014677616112458837
135,band_135,confirmed,1,49,49,1.0,0.0028838171495331136,0.0014677616112458837
103,band_103,confirmed,1,48,49,0.9795918367346939,0.004983159204621056,0.0014677616112458837
55,band_55,confirmed,1,48,49,0.9795918367346939,0.004857092666667463,0.0014677616112458837
47,band_47,confirmed,1,48,49,0.9795918367346939,0.004591989016977829,0.0014677616112458837
173,band_173,confirmed,1,48,49,0.9795918367346939,0.004091934668477044,0.0014677616112458837
60,band_60,confirmed,1,48,49,0.9795918367346939,0.003904617358368119,0.0014677616112458837
166,band_166,confirmed,1,48,49,0.9795918367346939,0.0037345928455136423,0.0014677616112458837
102,band_102,confirmed,1,48,49,0.9795918367346939,0.003707185110331413,0.0014677616112458837
141,band_141,confirmed,1,48,49,0.9795918367346939,0.0036497926925057817,0.0014677616112458837
162,band_162,confirmed,1,48,49,0.9795918367346939,0.0033313729809054406,0.0014677616112458837
170,band_170,confirmed,1,48,49,0.9795918367346939,0.0031612202898028876,0.0014677616112458837
169,band_169,confirmed,1,48,49,0.9795918367346939,0.0031582181914836084,0.0014677616112458837
171,band_171,confirmed,1,48,49,0.9795918367346939,0.00313362506427528,0.0014677616112458837
14,band_14,confirmed,1,48,49,0.9795918367346939,0.003104150920431722,0.0014677616112458837
79,band_79,confirmed,1,48,49,0.9795918367346939,0.003070238567922663,0.0014677616112458837
65,band_65,confirmed,1,48,49,0.9795918367346939,0.003053725526407514,0.0014677616112458837
25,band_25,confirmed,1,48,49,0.9795918367346939,0.0030244588586540062,0.0014677616112458837
70,band_70,confirmed,1,48,49,0.9795918367346939,0.0029761382335740955,0.0014677616112458837
81,band_81,confirmed,1,48,49,0.9795918367346939,0.00290562089772973,0.0014677616112458837
181,band_181,confirmed,1,48,49,0.9795918367346939,0.002867101013937234,0.0014677616112458837
82,band_82,confirmed,1,47,49,0.9591836734693877,0.0037707430695404142,0.0014677616112458837
125,band_125,confirmed,1,47,49,0.9591836734693877,0.003435928842533266,0.0014677616112458837
5,band_5,confirmed,1,47,49,0.9591836734693877,0.0033785566322908516,0.0014677616112458837
159,band_159,confirmed,1,47,49,0.9591836734693877,0.0032392039073174186,0.0014677616112458837
130,band_130,confirmed,1,47,49,0.9591836734693877,0.0029105389545748856,0.0014677616112458837
75,band_75,confirmed,1,47,49,0.9591836734693877,0.002901271690433268,0.0014677616112458837
89,band_89,confirmed,1,47,49,0.9591836734693877,0.002808575323336452,0.0014677616112458837
73,band_73,confirmed,1,47,49,0.9591836734693877,0.0027942772529948867,0.0014677616112458837
17,band_17,confirmed,1,47,49,0.9591836734693877,0.002633772523953727,0.0014677616112458837
149,band_149,confirmed,1,46,49,0.9387755102040817,0.003177660451313969,0.0014677616112458837
108,band_108,confirmed,1,46,49,0.9387755102040817,0.0031058119766023927,0.0014677616112458837
118,band_118,confirmed,1,46,49,0.9387755102040817,0.002993511756586438,0.0014677616112458837
72,band_72,confirmed,1,46,49,0.9387755102040817,0.002563971841881796,0.0014677616112458837
183,band_183,confirmed,1,46,49,0.9387755102040817,0.002560853026107213,0.0014677616112458837
30,band_30,confirmed,1,45,49,0.9183673469387755,0.0033743198008828953,0.0014677616112458837
164,band_164,confirmed,1,45,49,0.9183673469387755,0.002910501330652254,0.0014677616112458837
54,band_54,confirmed,1,45,49,0.9183673469387755,0.0029088881679705746,0.0014677616112458837
18,band_18,confirmed,1,44,49,0.8979591836734694,0.003058237787004968,0.0014677616112458837
10,band_10,confirmed,1,44,49,0.8979591836734694,0.002435214977029853,0.0014677616112458837
80,band_80,confirmed,1,44,49,0.8979591836734694,0.0024214048844294726,0.0014677616112458837
172,band_172,confirmed,1,44,49,0.8979591836734694,0.0022957773642504602,0.0014677616112458837
68,band_68,confirmed,1,43,49,0.8775510204081632,0.0030192091274101563,0.0014677616112458837
16,band_16,confirmed,1,43,49,0.8775510204081632,0.0025479745923214754,0.0014677616112458837
31,band_31,confirmed,1,43,49,0.8775510204081632,0.0024370553404022394,0.0014677616112458837
179,band_179,confirmed,1,43,49,0.8775510204081632,0.0022788508559973652,0.0014677616112458837
110,band_110,confirmed,1,41,49,0.8367346938775511,0.0021520939439890257,0.0014677616112458837
85,band_85,confirmed,1,41,49,0.8367346938775511,0.0021209954082590144,0.0014677616112458837
142,band_142,confirmed,1,41,49,0.8367346938775511,0.002093839309996427,0.0014677616112458837
32,band_32,confirmed,1,39,49,0.7959183673469388,0.0022271214902742165,0.0014677616112458837
147,band_147,confirmed,1,38,49,0.7755102040816326,0.002127515833781448,0.0014677616112458837
35,band_35,confirmed,1,38,49,0.7755102040816326,0.0020037451023908423,0.0014677616112458837
34,band_34,confirmed,1,37,49,0.7551020408163265,0.0021497545495097465,0.0014677616112458837
36,band_36,confirmed,1,37,49,0.7551020408163265,0.001996270464533431,0.0014677616112458837
78,band_78,confirmed,1,37,49,0.7551020408163265,0.0019409962700179053,0.0014677616112458837
143,band_143,confirmed,1,36,49,0.7346938775510204,0.0019993682828459945,0.0014677616112458837
167,band_167,confirmed,1,36,49,0.7346938775510204,0.0017756938467694367,0.0014677616112458837
161,band_161,tentative,1,34,49,0.6938775510204082,0.0018718703809999858,0.0014677616112458837
160,band_160,tentative,1,32,49,0.6530612244897959,0.0017285598109469961,0.0014677616112458837
56,band_56,tentative,1,31,49,0.6326530612244898,0.0016642379416008887,0.0014677616112458837
176,band_176,tentative,1,30,49,0.6122448979591837,0.0017234747977194988,0.0014677616112458837
157,band_157,tentative,1,28,49,0.5714285714285714,0.0016566030168093918,0.0014677616112458837
156,band_156,tentative,1,27,49,0.5510204081632653,0.001601113941367747,0.0014677616112458837
152,band_152,tentative,1,25,49,0.5102040816326531,0.001480755676638528,0.0014677616112458837
19,band_19,rejected,0,25,49,0.5102040816326531,0.0015937822529464992,0.0014677616112458837
155,band_155,rejected,0,23,49,0.46938775510204084,0.0015479618117391208,0.0014677616112458837
114,band_114,rejected,0,23,49,0.46938775510204084,0.0014929895537385326,0.0014677616112458837
158,band_158,rejected,0,21,49,0.42857142857142855,0.0013369143290799493,0.0014677616112458837
174,band_174,rejected,0,20,49,0.40816326530612246,0.0013136203841969704,0.0014677616112458837
33,band_33,rejected,0,20,49,0.40816326530612246,0.0012687934277980048,0.0014677616112458837
71,band_71,rejected,0,19,49,0.3877551020408163,0.0013858985548097227,0.0014677616112458837
175,band_175,rejected,0,17,49,0.3469387755102041,0.0012480787918532448,0.0014677616112458837
168,band_168,rejected,0,16,49,0.32653061224489793,0.0011898453327328785,0.0014677616112458837
113,band_113,rejected,0,5,49,0.10204081632653061,,0.0014677616112458837
153,band_153,rejected,0,2,49,0.04081632653061224,,0.0014677616112458837
0,band_0,rejected,0,0,49,0.0,,0.0014677616112458837
115,band_115,rejected,0,0,49,0.0,,0.0014677616112458837
116,band_116,rejected,0,0,49,0.0,,0.0014677616112458837
