cluster_id,size,representative,mean_abs_r_to_others,band_name,members
44,95,35,0.998170036584773,band_35,2 4 5 15 16 17 18 19 20 21 22 30 31 32 33 34 35 36 45 47 48 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 73 74 75 76 77 82 83 84 85 86 87 88 112 113 114 115 116 117 118 127 129 130 140 141 142 143 144 145 146 147 148 149 150 151 152 153 155 156 157 158 159 160 161 168 173 175 176 177 178 179 180 181 182 183
12,6,44,0.9938043832778931,band_44,1 6 44 49 126 131
38,5,24,0.9836271852254868,band_24,23 24 106 133 134
46,5,170,0.9739420413970947,band_170,163 165 166 170 172
41,4,169,0.9733679095904032,band_169,162 167 169 174
0,3,42,0.9989965260028839,band_42,37 42 43
34,3,94,0.9770189821720123,band_94,91 92 94
36,3,26,0.9856491386890411,band_26,26 108 136
39,3,50,0.9980493783950806,band_50,7 50 132
40,3,46,0.9962150752544403,band_46,3 46 128
43,3,139,0.9759044945240021,band_139,29 111 139
14,2,71,0.968525767326355,band_71,71 72
16,2,97,0.9708499312400818,band_97,97 104
20,2,80,0.9801962971687317,band_80,80 81
21,2,99,0.9533960819244385,band_99,99 101
27,2,28,0.9933391213417053,band_28,28 138
32,2,27,0.9992771148681641,band_27,27 137
37,2,25,0.9991119503974915,band_25,25 135
42,2,9,0.9507570266723633,band_9,9 12
45,2,164,0.9789440631866455,band_164,164 171
1,1,40,1.0,band_40,40
2,1,8,1.0,band_8,8
3,1,13,1.0,band_13,13
4,1,93,1.0,band_93,93
5,1,95,1.0,band_95,95
6,1,38,1.0,band_38,38
7,1,39,1.0,band_39,39
8,1,41,1.0,band_41,41
9,1,105,1.0,band_105,105
10,1,110,1.0,band_110,110
11,1,107,1.0,band_107,107
13,1,79,1.0,band_79,79
15,1,78,1.0,band_78,78
17,1,96,1.0,band_96,96
18,1,103,1.0,band_103,103
19,1,98,1.0,band_98,98
22,1,102,1.0,band_102,102
23,1,90,1.0,band_90,90
24,1,100,1.0,band_100,100
25,1,124,1.0,band_124,124
26,1,125,1.0,band_125,125
28,1,120,1.0,band_120,120
29,1,121,1.0,band_121,121
30,1,122,1.0,band_122,122
31,1,119,1.0,band_119,119
33,1,109,1.0,band_109,109
35,1,89,1.0,band_89,89
47,1,11,1.0,band_11,11
48,1,154,1.0,band_154,154
49,1,10,1.0,band_10,10
50,1,123,1.0,band_123,123
51,1,0,1.0,band_0,0
52,1,14,1.0,band_14,14
