tile,year,eco_id,n_eco_bbox_approx,mosaic_path,west,south,east,north
CHILE-SE-19-Y-B,2015,2,8327058,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SE-19-Y-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-19.00394966707689,-68.99896815252156,-17.99900435873238
CHILE-SE-19-Y-D,2015,2,13221358,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SE-19-Y-D-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-20.004313567472387,-68.99896815252156,-18.999098764542644
CHILE-SF-19-V-B,2015,2,15970199,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SF-19-V-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-21.00440797328265,-68.99896815252156,-19.99892367576767
CHILE-SF-19-V-D,2015,2,15529661,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SF-19-V-D-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-22.004502379092912,-68.99896815252156,-20.999018081577933
CHILE-SF-19-X-A,2015,2,767830,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SF-19-X-A-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-21.00440797328265,-67.49896129109878,-19.99892367576767
CHILE-SF-19-X-C,2015,2,1557423,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SF-19-X-C-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-22.004502379092912,-67.49896129109878,-20.999018081577933
CHILE-SF-19-Y-B,2015,2,17464941,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SF-19-Y-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-23.004596784903175,-68.99896815252156,-21.99884299280296
CHILE-SF-19-Y-D,2015,2,18770538,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SF-19-Y-D-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-24.004691190713437,-68.99896815252156,-22.998937398613222
CHILE-SF-19-Z-A,2015,2,5646851,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SF-19-Z-A-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-23.004596784903175,-67.49896129109878,-21.99884299280296
CHILE-SF-19-Z-C,2015,2,2659207,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SF-19-Z-C-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-24.004691190713437,-67.49896129109878,-22.998937398613222
CHILE-SG-19-V-B,2015,2,16850692,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-V-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-25.004785596523703,-68.99896815252156,-23.99903180442349
CHILE-SG-19-V-D,2015,2,10363749,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-V-D-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-26.004880002333966,-68.99896815252156,-24.998856715648515
CHILE-SG-19-X-A,2015,2,247782,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-X-A-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-25.004785596523703,-67.49896129109878,-23.99903180442349
CHILE-SG-19-Y-B,2015,2,1871019,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-Y-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-27.00497440814423,-68.99896815252156,-25.998951121458777
