representative,band_name,cluster_id,size,source,family
0,band_0,29,6,central,band
8,band_8,1,6,central,band
10,band_10,26,6,central,band
12,band_12,27,6,central,band
14,band_14,30,6,central,band
37,band_37,0,6,central,band
38,band_38,15,6,central,band
39,band_39,5,6,central,band
40,band_40,28,6,central,band
41,band_41,6,6,central,band
49,band_49,9,6,central,band
62,band_62,22,6,central,band
71,band_71,7,6,central,band
80,band_80,14,6,central,band
89,band_89,13,6,central,band
91,band_91,3,6,central,band
95,band_95,24,6,central,band
96,band_96,2,6,central,band
98,band_98,18,6,central,band
99,band_99,21,6,central,band
100,band_100,19,6,central,band
102,band_102,10,6,central,band
104,band_104,16,6,central,band
119,band_119,17,6,central,band
122,band_122,23,6,central,band
123,band_123,11,6,central,band
124,band_124,4,6,central,band
127,band_127,12,6,central,band
128,band_128,8,6,central,band
154,band_154,25,6,central,band
172,band_172,20,6,central,band
