rank,band_index,band_name,mean_jm,min_jm,n_pairs,n_classes_used
1,19,band_19,0.8106927914491747,0.0,55,12
2,116,band_116,0.6664915430270427,0.0,36,12
3,16,band_16,0.5919344096906168,0.0,66,12
4,18,band_18,0.5900753501683655,0.0,55,12
5,118,band_118,0.533994943103034,0.0,66,12
6,115,band_115,0.4307196294481211,0.0,55,12
7,17,band_17,0.3602436802054584,0.0,66,12
8,21,band_21,0.3600805447086471,0.0,55,12
9,113,band_113,0.2908515332527383,0.0,66,12
10,60,band_60,0.16728507195985412,0.0,66,12
11,161,band_161,0.1530742818654412,0.0,66,12
12,112,band_112,0.13709578493912233,0.0,66,12
13,156,band_156,0.13404917870583288,0.0,66,12
14,114,band_114,0.11712573953822673,0.0,66,12
15,159,band_159,0.10995068774590856,0.0,66,12
16,22,band_22,0.10413745968855773,0.0,66,12
17,117,band_117,0.10396305420063578,0.0,66,12
18,15,band_15,0.10035168994913723,0.0,66,12
19,20,band_20,0.09658835799814004,0.0,66,12
20,31,band_31,0.09168320127970224,0.0,66,12
21,158,band_158,0.09163359497188317,0.0,66,12
22,58,band_58,0.08835881287304949,0.0,66,12
23,86,band_86,0.08204736408594296,0.0,66,12
24,61,band_61,0.08147253566271981,0.0,66,12
25,157,band_157,0.0787015819635558,0.0,66,12
26,63,band_63,0.07486472656128909,0.0,66,12
27,55,band_55,0.0740166594613664,0.0,66,12
28,62,band_62,0.07296188215726918,0.0,66,12
29,142,band_142,0.06380177685754078,0.0,66,12
30,52,band_52,0.06338104952922875,0.0,66,12
31,141,band_141,0.06105561964939764,0.0,66,12
32,53,band_53,0.05750433666659321,0.0,66,12
33,180,band_180,0.0533171275122403,0.0,66,12
34,84,band_84,0.052403343571413345,0.0,66,12
35,155,band_155,0.04917804966384491,0.0,66,12
36,144,band_144,0.04767715977682368,0.0,66,12
37,83,band_83,0.044099265526720895,0.0,66,12
38,47,band_47,0.034651172684247555,0.0,66,12
39,36,band_36,0.034627037239584366,0.0,66,12
40,151,band_151,0.03432055751243813,0.0,66,12
41,9,band_9,0.03154761532235853,0.0,66,12
42,45,band_45,0.030123140351533212,0.0,66,12
43,32,band_32,0.02920728702712807,0.0,66,12
44,92,band_92,0.02869761579189797,0.0,66,12
45,183,band_183,0.02798118085235978,0.0,66,12
46,57,band_57,0.024135957696618443,0.0,66,12
47,4,band_4,0.022219296352693825,0.0,66,12
48,177,band_177,0.017218038273270266,0.0,66,12
49,81,band_81,0.015247548166861758,0.0,66,12
50,89,band_89,0.015247548166861727,0.0,66,12
51,33,band_33,0.012474402966367308,0.0,66,12
52,34,band_34,0.01218930098411678,0.0,66,12
53,99,band_99,0.010801326652830434,0.0,66,12
54,149,band_149,0.010621083878246805,0.0,66,12
55,182,band_182,0.00977383065212144,0.0,66,12
56,56,band_56,0.009377091094026855,0.0,66,12
57,146,band_146,0.008767979241956365,0.0,66,12
58,54,band_54,0.008103814381498698,0.0,66,12
59,150,band_150,0.007957141741207154,0.0,66,12
60,148,band_148,0.006670790631503621,0.0,66,12
61,160,band_160,0.004518761323924069,0.0,66,12
62,0,band_0,0.0,0.0,66,12
63,1,band_1,0.0,0.0,66,12
64,2,band_2,0.0,0.0,66,12
65,3,band_3,0.0,0.0,66,12
66,5,band_5,0.0,0.0,66,12
67,6,band_6,0.0,0.0,66,12
68,7,band_7,0.0,0.0,66,12
69,8,band_8,0.0,0.0,66,12
70,10,band_10,0.0,0.0,66,12
71,11,band_11,0.0,0.0,66,12
72,12,band_12,0.0,0.0,66,12
73,13,band_13,0.0,0.0,66,12
74,14,band_14,0.0,0.0,66,12
75,23,band_23,0.0,0.0,66,12
76,24,band_24,0.0,0.0,66,12
77,25,band_25,0.0,0.0,66,12
78,26,band_26,0.0,0.0,66,12
79,27,band_27,0.0,0.0,66,12
80,28,band_28,0.0,0.0,66,12
81,29,band_29,0.0,0.0,66,12
82,30,band_30,0.0,0.0,66,12
83,35,band_35,0.0,0.0,66,12
84,37,band_37,0.0,0.0,66,12
85,38,band_38,0.0,0.0,66,12
86,39,band_39,0.0,0.0,66,12
87,40,band_40,0.0,0.0,66,12
88,41,band_41,0.0,0.0,66,12
89,42,band_42,0.0,0.0,66,12
90,43,band_43,0.0,0.0,66,12
91,44,band_44,0.0,0.0,66,12
92,46,band_46,0.0,0.0,66,12
93,48,band_48,0.0,0.0,66,12
94,49,band_49,0.0,0.0,66,12
95,50,band_50,0.0,0.0,66,12
96,51,band_51,0.0,0.0,66,12
97,59,band_59,0.0,0.0,66,12
98,64,band_64,0.0,0.0,66,12
99,65,band_65,0.0,0.0,66,12
100,66,band_66,0.0,0.0,66,12
101,67,band_67,0.0,0.0,66,12
102,68,band_68,0.0,0.0,66,12
103,69,band_69,0.0,0.0,66,12
104,70,band_70,0.0,0.0,66,12
105,71,band_71,0.0,0.0,66,12
106,72,band_72,0.0,0.0,66,12
107,73,band_73,0.0,0.0,66,12
108,74,band_74,0.0,0.0,66,12
109,75,band_75,0.0,0.0,66,12
110,76,band_76,0.0,0.0,66,12
111,77,band_77,0.0,0.0,66,12
112,78,band_78,0.0,0.0,66,12
113,79,band_79,0.0,0.0,66,12
114,80,band_80,0.0,0.0,66,12
115,82,band_82,0.0,0.0,66,12
116,85,band_85,0.0,0.0,66,12
117,87,band_87,0.0,0.0,66,12
118,88,band_88,0.0,0.0,66,12
119,90,band_90,0.0,0.0,66,12
120,91,band_91,0.0,0.0,66,12
121,93,band_93,0.0,0.0,66,12
122,94,band_94,0.0,0.0,66,12
123,95,band_95,0.0,0.0,66,12
124,96,band_96,0.0,0.0,66,12
125,97,band_97,0.0,0.0,66,12
126,98,band_98,0.0,0.0,66,12
127,100,band_100,0.0,0.0,66,12
128,101,band_101,0.0,0.0,66,12
129,102,band_102,0.0,0.0,66,12
130,103,band_103,0.0,0.0,66,12
131,104,band_104,0.0,0.0,66,12
132,105,band_105,0.0,0.0,66,12
133,106,band_106,0.0,0.0,66,12
134,107,band_107,0.0,0.0,66,12
135,108,band_108,0.0,0.0,66,12
136,109,band_109,0.0,0.0,66,12
137,110,band_110,0.0,0.0,66,12
138,111,band_111,0.0,0.0,66,12
139,119,band_119,0.0,0.0,66,12
140,120,band_120,0.0,0.0,66,12
141,121,band_121,0.0,0.0,66,12
142,122,band_122,0.0,0.0,66,12
143,123,band_123,0.0,0.0,66,12
144,124,band_124,0.0,0.0,66,12
145,125,band_125,0.0,0.0,66,12
146,126,band_126,0.0,0.0,66,12
147,127,band_127,0.0,0.0,66,12
148,128,band_128,0.0,0.0,66,12
149,129,band_129,0.0,0.0,66,12
150,130,band_130,0.0,0.0,66,12
151,131,band_131,0.0,0.0,66,12
152,132,band_132,0.0,0.0,66,12
153,133,band_133,0.0,0.0,66,12
154,134,band_134,0.0,0.0,66,12
155,135,band_135,0.0,0.0,66,12
156,136,band_136,0.0,0.0,66,12
157,137,band_137,0.0,0.0,66,12
158,138,band_138,0.0,0.0,66,12
159,139,band_139,0.0,0.0,66,12
160,140,band_140,0.0,0.0,66,12
161,143,band_143,0.0,0.0,66,12
162,145,band_145,0.0,0.0,66,12
163,147,band_147,0.0,0.0,66,12
164,152,band_152,0.0,0.0,66,12
165,153,band_153,0.0,0.0,66,12
166,154,band_154,0.0,0.0,66,12
167,162,band_162,0.0,0.0,66,12
168,163,band_163,0.0,0.0,66,12
169,164,band_164,0.0,0.0,66,12
170,165,band_165,0.0,0.0,66,12
171,166,band_166,0.0,0.0,66,12
172,167,band_167,0.0,0.0,66,12
173,168,band_168,0.0,0.0,66,12
174,169,band_169,0.0,0.0,66,12
175,170,band_170,0.0,0.0,66,12
176,171,band_171,0.0,0.0,66,12
177,172,band_172,0.0,0.0,66,12
178,173,band_173,0.0,0.0,66,12
