sample_id,eco_id,eco_name,class,tile,source_gpkg
0,1,E1_Puna_seca_andina,11,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
1,1,E1_Puna_seca_andina,11,CHILE-SE-19-V-D,E1_Puna_seca_andina.gpkg
2,1,E1_Puna_seca_andina,11,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
3,1,E1_Puna_seca_andina,11,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
4,1,E1_Puna_seca_andina,11,CHILE-SF-19-Z-C,E1_Puna_seca_andina.gpkg
5,1,E1_Puna_seca_andina,11,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
6,1,E1_Puna_seca_andina,11,CHILE-SF-19-Z-B,E1_Puna_seca_andina.gpkg
7,1,E1_Puna_seca_andina,11,CHILE-SE-19-V-D,E1_Puna_seca_andina.gpkg
8,1,E1_Puna_seca_andina,11,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
9,1,E1_Puna_seca_andina,11,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
10,1,E1_Puna_seca_andina,11,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
11,1,E1_Puna_seca_andina,11,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
12,1,E1_Puna_seca_andina,11,CHILE-SF-19-Z-C,E1_Puna_seca_andina.gpkg
13,1,E1_Puna_seca_andina,11,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
14,1,E1_Puna_seca_andina,11,CHILE-SF-19-X-C,E1_Puna_seca_andina.gpkg
15,1,E1_Puna_seca_andina,11,CHILE-SG-19-Z-A,E1_Puna_seca_andina.gpkg
16,1,E1_Puna_seca_andina,11,CHILE-SF-19-Z-C,E1_Puna_seca_andina.gpkg
17,1,E1_Puna_seca_andina,11,CHILE-SG-19-Z-A,E1_Puna_seca_andina.gpkg
18,1,E1_Puna_seca_andina,11,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
19,1,E1_Puna_seca_andina,11,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
20,1,E1_Puna_seca_andina,11,CHILE-SF-19-Z-C,E1_Puna_seca_andina.gpkg
21,1,E1_Puna_seca_andina,11,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
22,1,E1_Puna_seca_andina,11,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
23,1,E1_Puna_seca_andina,11,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
24,1,E1_Puna_seca_andina,11,CHILE-SF-19-Z-A,E1_Puna_seca_andina.gpkg
25,1,E1_Puna_seca_andina,11,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
26,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
27,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
28,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
29,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
30,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
31,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
32,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
33,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
34,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
35,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
36,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
37,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
38,1,E1_Puna_seca_andina,18,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
39,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
40,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
41,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
42,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
43,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
44,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
45,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
46,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
47,1,E1_Puna_seca_andina,18,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
48,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
49,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
50,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
51,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
52,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
53,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
54,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
55,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
56,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
57,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
58,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
59,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
60,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
61,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
62,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
63,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
64,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
65,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
66,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
67,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
68,1,E1_Puna_seca_andina,23,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
69,1,E1_Puna_seca_andina,24,CHILE-SF-19-X-C,E1_Puna_seca_andina.gpkg
70,1,E1_Puna_seca_andina,24,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
71,1,E1_Puna_seca_andina,24,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
72,1,E1_Puna_seca_andina,24,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
73,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-A,E1_Puna_seca_andina.gpkg
74,1,E1_Puna_seca_andina,24,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
75,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-A,E1_Puna_seca_andina.gpkg
76,1,E1_Puna_seca_andina,24,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
77,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-C,E1_Puna_seca_andina.gpkg
78,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-C,E1_Puna_seca_andina.gpkg
79,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-A,E1_Puna_seca_andina.gpkg
80,1,E1_Puna_seca_andina,24,CHILE-SE-19-V-D,E1_Puna_seca_andina.gpkg
81,1,E1_Puna_seca_andina,24,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
82,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-C,E1_Puna_seca_andina.gpkg
83,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-C,E1_Puna_seca_andina.gpkg
84,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-A,E1_Puna_seca_andina.gpkg
85,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-A,E1_Puna_seca_andina.gpkg
86,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-A,E1_Puna_seca_andina.gpkg
87,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-A,E1_Puna_seca_andina.gpkg
88,1,E1_Puna_seca_andina,24,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
89,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-A,E1_Puna_seca_andina.gpkg
90,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-A,E1_Puna_seca_andina.gpkg
91,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-C,E1_Puna_seca_andina.gpkg
92,1,E1_Puna_seca_andina,24,CHILE-SE-19-Y-D,E1_Puna_seca_andina.gpkg
93,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-C,E1_Puna_seca_andina.gpkg
94,1,E1_Puna_seca_andina,24,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
95,1,E1_Puna_seca_andina,24,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
96,1,E1_Puna_seca_andina,24,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
97,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-C,E1_Puna_seca_andina.gpkg
98,1,E1_Puna_seca_andina,24,CHILE-SE-19-Y-B,E1_Puna_seca_andina.gpkg
99,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-A,E1_Puna_seca_andina.gpkg
100,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-A,E1_Puna_seca_andina.gpkg
101,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-C,E1_Puna_seca_andina.gpkg
102,1,E1_Puna_seca_andina,24,CHILE-SF-19-Z-A,E1_Puna_seca_andina.gpkg
103,1,E1_Puna_seca_andina,24,CHILE-SE-19-Z-C,E1_Puna_seca_andina.gpkg
