YEAR	GRID_NAME	SATELLITE	BLACK LIST	USETILEMASK	SATELLITE_COMMENT
1996	SE-19-V-D	L5		true	
1997	SE-19-V-D	L5		true	
1998	SE-19-V-D	L5		true	
1999	SE-19-V-D	L5		true	
2000	SE-19-V-D	L7		true	
2001	SE-19-V-D	L7		true	
2002	SE-19-V-D	L7		true	
2003	SE-19-V-D	L5		true	
2004	SE-19-V-D	L7		true	
2005	SE-19-V-D	L7		true	
2006	SE-19-V-D	L7		true	
2007	SE-19-V-D	L7		true	
2008	SE-19-V-D	L7		true	
2009	SE-19-V-D	L7		true	
2010	SE-19-V-D	L7		true	
2011	SE-19-V-D	L7		true	
2012	SE-19-V-D	L7		true	
2013	SE-19-V-D	L8		true	
2014	SE-19-V-D	L8		true	
2015	SE-19-V-D	L8		true	
2016	SE-19-V-D	L8		true	
2017	SE-19-V-D	L8		true	
2018	SE-19-V-D	L8		true	
2019	SE-19-V-D	L8		true	
2020	SE-19-V-D	L8		true	
2021	SE-19-V-D	L8		true	
2022	SE-19-V-D	L8		true	
2023	SE-19-V-D	L9		true	
2024	SE-19-V-D	L9		true	
2025	SE-19-V-D	L9		true	
1996	SE-19-Y-B	L5		true	
1997	SE-19-Y-B	L5		true	
1998	SE-19-Y-B	L5		true	
1999	SE-19-Y-B	L5		true	
2000	SE-19-Y-B	L5		true	
2001	SE-19-Y-B	L7		true	
2002	SE-19-Y-B	L7		true	
2003	SE-19-Y-B	L5	LT05_002073_20031125,LT05_002073_20030704,LT05_001072_20030627,LT05_002073_20031227,LT05_002073_20031211,LT05_002073_20031024,LT05_002073_20030906,LT05_002073_20030821,LT05_002073_20030805,LT05_002073_20030720,LT05_002073_20030618,LT05_002073_20031008	true	
2004	SE-19-Y-B	L7		true	
2005	SE-19-Y-B	L7		true	
2006	SE-19-Y-B	L7		true	
2007	SE-19-Y-B	L7		true	
2008	SE-19-Y-B	L7		true	
2009	SE-19-Y-B	L7		true	
2010	SE-19-Y-B	L7		true	
2011	SE-19-Y-B	L5	LT05_001073_20110124	true	
2012	SE-19-Y-B	L7		true	satellite anterior (anómalo): 99
2013	SE-19-Y-B	L8		true	
2014	SE-19-Y-B	L8		true	
2015	SE-19-Y-B	L8		true	
2016	SE-19-Y-B	L8		true	
2017	SE-19-Y-B	L8		true	
2018	SE-19-Y-B	L8		true	
2019	SE-19-Y-B	L8		true	
2020	SE-19-Y-B	L8		true	
2021	SE-19-Y-B	L8		true	
2022	SE-19-Y-B	L8		true	
2023	SE-19-Y-B	L9		true	
2024	SE-19-Y-B	L9		true	
2025	SE-19-Y-B	L8		true	
1996	SE-19-Y-D	L5		true	
1997	SE-19-Y-D	L5		true	
1998	SE-19-Y-D	L5		true	
1999	SE-19-Y-D	L5		true	
2000	SE-19-Y-D	L5		true	
2001	SE-19-Y-D	L7		true	
2002	SE-19-Y-D	L7		true	
2003	SE-19-Y-D	L5		true	
2004	SE-19-Y-D	L7		true	
2005	SE-19-Y-D	L7		true	
2006	SE-19-Y-D	L7		true	
2007	SE-19-Y-D	L7		true	
2008	SE-19-Y-D	L7		true	
2009	SE-19-Y-D	L7		true	
2010	SE-19-Y-D	L7		true	
2011	SE-19-Y-D	L7		true	
2012	SE-19-Y-D	L7		true	satellite anterior (anómalo): 99
2013	SE-19-Y-D	L8		true	
2014	SE-19-Y-D	L8		true	
2015	SE-19-Y-D	L8		true	
2016	SE-19-Y-D	L8		true	
2017	SE-19-Y-D	L8		true	
2018	SE-19-Y-D	L8		true	
2019	SE-19-Y-D	L8		true	
2020	SE-19-Y-D	L8		true	
2021	SE-19-Y-D	L8		true	
2022	SE-19-Y-D	L8		true	
2023	SE-19-Y-D	L9		true	
2024	SE-19-Y-D	L9		true	
2025	SE-19-Y-D	L9		true	
1996	SE-19-Z-C	L5		true	
1997	SE-19-Z-C	L5		true	
1998	SE-19-Z-C	L5		true	
1999	SE-19-Z-C	L5		true	
2000	SE-19-Z-C	L7		true	
2001	SE-19-Z-C	L7		true	
2002	SE-19-Z-C	L7		true	
2003	SE-19-Z-C	L7		true	
2004	SE-19-Z-C	L7		true	
2005	SE-19-Z-C	L7		true	
2006	SE-19-Z-C	L7		true	
2007	SE-19-Z-C	L7		true	
2008	SE-19-Z-C	L7		true	
2009	SE-19-Z-C	L7		true	
2010	SE-19-Z-C	L7		true	
2011	SE-19-Z-C	L7		true	
2012	SE-19-Z-C	L7	LE07_001073_20120103,LE07_001073_20120119,LE07_001073_20120307,LE07_001073_20120424,LE07_001073_20121001,LE07_001074_20120119,LE07_001074_20120307,LE07_001074_20120424	true	
2013	SE-19-Z-C	L8		true	
2014	SE-19-Z-C	L8		true	
2015	SE-19-Z-C	L8		true	
2016	SE-19-Z-C	L8		true	
2017	SE-19-Z-C	L8		true	
2018	SE-19-Z-C	L8		true	
2019	SE-19-Z-C	L8		true	
2020	SE-19-Z-C	L8		true	
2021	SE-19-Z-C	L8		true	
2022	SE-19-Z-C	L8		true	
2023	SE-19-Z-C	L9		true	
2024	SE-19-Z-C	L9		true	
2025	SE-19-Z-C	L9		true	
1996	SE-19-Z-A	L5		true	
1997	SE-19-Z-A	L5		true	
1998	SE-19-Z-A	L5		true	
1999	SE-19-Z-A	L5		true	
2000	SE-19-Z-A	L5		true	
2001	SE-19-Z-A	L7		true	
2002	SE-19-Z-A	L7		true	
2003	SE-19-Z-A	L5		true	
2004	SE-19-Z-A	L7		true	
2005	SE-19-Z-A	L7		true	
2006	SE-19-Z-A	L7		true	
2007	SE-19-Z-A	L7		true	
2008	SE-19-Z-A	L7		true	
2009	SE-19-Z-A	L7		true	
2010	SE-19-Z-A	L7		true	
2011	SE-19-Z-A	L7		true	
2012	SE-19-Z-A	L7	LE07_001072_20120408,LE07_001072_20120119,LE07_233073_20120417,LE07_001073_20120323,LE07_001073_20120307,LE07_001073_20121118,LE07_001073_20120424,LE07_001073_20120510,LE07_001073_20120611,LE07_001073_20121001,LE07_233073_20120128,LE07_001072_20120424,LE07_001072_20120915,LE07_001072_20121204,LE07_001073_20120103,LE07_001073_20120408,LE07_233073_20121229,LE07_233073_20121127	true	
2013	SE-19-Z-A	L8		true	
2014	SE-19-Z-A	L8		true	
2015	SE-19-Z-A	L8		true	
2016	SE-19-Z-A	L8		true	
2017	SE-19-Z-A	L8		true	
2018	SE-19-Z-A	L8		true	
2019	SE-19-Z-A	L8		true	
2020	SE-19-Z-A	L8		true	
2021	SE-19-Z-A	L8		true	
2022	SE-19-Z-A	L8		true	
2023	SE-19-Z-A	L9		true	
2024	SE-19-Z-A	L9		true	
2025	SE-19-Z-A	L9		true	
1996	SF-19-Y-D	L5		true	
1997	SF-19-Y-D	L5		true	
1998	SF-19-Y-D	L5		true	
1999	SF-19-Y-D	L5		true	
2000	SF-19-Y-D	L7		true	
2001	SF-19-Y-D	L7		true	
2002	SF-19-Y-D	L7		true	
2003	SF-19-Y-D	L7		true	
2004	SF-19-Y-D	L7		true	
2005	SF-19-Y-D	L7		true	
2006	SF-19-Y-D	L7		true	
2007	SF-19-Y-D	L7		true	
2008	SF-19-Y-D	L7		true	
2009	SF-19-Y-D	L7		true	
2010	SF-19-Y-D	L7		true	
2011	SF-19-Y-D	L7		true	
2012	SF-19-Y-D	L7		true	
2013	SF-19-Y-D	L8		true	
2014	SF-19-Y-D	L8		true	
2015	SF-19-Y-D	L8		true	
2016	SF-19-Y-D	L8		true	
2017	SF-19-Y-D	L8		true	
2018	SF-19-Y-D	L8		true	
2019	SF-19-Y-D	L8		true	
2020	SF-19-Y-D	L8		true	
2021	SF-19-Y-D	L8		true	
2022	SF-19-Y-D	L8		true	
2023	SF-19-Y-D	L9		true	
2024	SF-19-Y-D	L9		true	
2025	SF-19-Y-D	L9		true	
1996	SF-19-Z-C	L5		true	
1997	SF-19-Z-C	L5		true	
1998	SF-19-Z-C	L5		true	
1999	SF-19-Z-C	L5		true	
2000	SF-19-Z-C	L7		true	
2001	SF-19-Z-C	L7		true	
2002	SF-19-Z-C	L7		true	
2003	SF-19-Z-C	L5		true	
2004	SF-19-Z-C	L7		true	
2005	SF-19-Z-C	L7		true	
2006	SF-19-Z-C	L7		true	
2007	SF-19-Z-C	L7		true	
2008	SF-19-Z-C	L7		true	
2009	SF-19-Z-C	L7		true	
2010	SF-19-Z-C	L7		true	
2011	SF-19-Z-C	L7		true	
2012	SF-19-Z-C	L7		true	satellite anterior (anómalo): 99/55
2013	SF-19-Z-C	L8		true	
2014	SF-19-Z-C	L8		true	
2015	SF-19-Z-C	L8		true	
2016	SF-19-Z-C	L8		true	
2017	SF-19-Z-C	L8		true	
2018	SF-19-Z-C	L8		true	
2019	SF-19-Z-C	L8		true	
2020	SF-19-Z-C	L8		true	
2021	SF-19-Z-C	L8		true	
2022	SF-19-Z-C	L8		true	
2023	SF-19-Z-C	L9		true	
2024	SF-19-Z-C	L9		true	
2025	SF-19-Z-C	L9		true	
1996	SF-19-Z-D	L5		true	
1997	SF-19-Z-D	L5		true	
1998	SF-19-Z-D	L5		true	
1999	SF-19-Z-D	L5		true	
2000	SF-19-Z-D	L5		true	
2001	SF-19-Z-D	L7		true	
2002	SF-19-Z-D	L7		true	
2003	SF-19-Z-D	L7		true	
2004	SF-19-Z-D	L7		true	
2005	SF-19-Z-D	L7		true	
2006	SF-19-Z-D	L7		true	
2007	SF-19-Z-D	L7		true	
2008	SF-19-Z-D	L7		true	
2009	SF-19-Z-D	L7		true	
2010	SF-19-Z-D	L7		true	
2011	SF-19-Z-D	L7		true	
